timestamp_picco,temperatura_max,id_attivita,start_time_attivita,end_time_attivita,durata_attivita_minuti,fascia_oraria,subject_id
2024-01-01 07:26:15,25.691489366031913,1,2024-01-01 07:26:15,2024-01-01 07:31:15,5,mattina,1
2024-01-01 06:32:19,44.849697445475215,2,2024-01-01 06:32:19,2024-01-01 06:37:19,5,mattina,1
2024-01-02 14:00:06,27.774749321026807,3,2024-01-02 14:00:06,2024-01-02 14:17:06,17,pranzo,1
2024-01-02 07:44:44,53.35108792421159,4,2024-01-02 07:44:44,2024-01-02 08:21:44,37,mattina,1
2024-01-02 19:59:07,33.40315962472563,5,2024-01-02 19:59:07,2024-01-02 20:15:07,16,cena,1
2024-01-03 06:44:46,29.563368676812225,6,2024-01-03 06:44:46,2024-01-03 06:51:46,7,mattina,1
2024-01-05 18:53:31,41.72923454381753,7,2024-01-05 18:53:31,2024-01-05 19:33:31,40,cena,1
2024-01-05 07:33:20,65.38600922682883,8,2024-01-05 07:33:20,2024-01-05 08:24:20,51,mattina,1
2024-01-05 05:05:06,47.44278621438593,9,2024-01-05 05:05:06,2024-01-05 05:23:06,18,mattina,1
2024-01-05 19:19:24,32.642319929451524,10,2024-01-05 19:19:24,2024-01-05 19:44:24,25,cena,1
2024-01-05 12:49:35,28.461623647620723,11,2024-01-05 12:49:35,2024-01-05 13:04:35,15,pranzo,1
2024-01-05 13:32:39,35.91324100375378,12,2024-01-05 13:32:39,2024-01-05 14:17:39,45,pranzo,1
2024-01-05 10:42:03,32.76162862226743,13,2024-01-05 10:42:03,2024-01-05 10:47:03,5,mattina,1
2024-01-06 08:00:40,38.01279762221047,14,2024-01-06 08:00:40,2024-01-06 09:38:40,98,mattina,1
2024-01-06 06:48:00,67.0082216733172,15,2024-01-06 06:48:00,2024-01-06 07:16:00,28,mattina,1
2024-01-07 07:26:55,25.366982184883277,16,2024-01-07 07:26:55,2024-01-07 09:38:55,132,mattina,1
2024-01-07 06:41:10,40.304073822700076,17,2024-01-07 06:41:10,2024-01-07 07:28:10,47,mattina,1
2024-01-08 07:36:25,35.23011650077012,18,2024-01-08 07:36:25,2024-01-08 08:27:25,51,mattina,1
2024-01-08 11:40:44,39.3933362401986,19,2024-01-08 11:40:44,2024-01-08 11:51:44,11,pranzo,1
2024-01-08 19:30:21,27.96834488082106,20,2024-01-08 19:30:21,2024-01-08 19:35:21,5,cena,1
2024-01-09 19:09:46,52.955073837143736,21,2024-01-09 19:09:46,2024-01-09 19:25:46,16,cena,1
2024-01-09 06:53:07,32.51803113410426,22,2024-01-09 06:53:07,2024-01-09 07:28:07,35,mattina,1
2024-01-10 07:39:25,25.11004508454913,23,2024-01-10 07:39:25,2024-01-10 07:44:25,5,mattina,1
2024-01-10 06:12:28,33.144337932941355,24,2024-01-10 06:12:28,2024-01-10 06:29:28,17,mattina,1
2024-01-10 07:28:31,38.1611291710916,25,2024-01-10 07:28:31,2024-01-10 07:33:31,5,mattina,1
2024-01-10 19:15:54,36.00657653687209,26,2024-01-10 19:15:54,2024-01-10 19:20:54,5,cena,1
2024-01-11 10:40:14,35.65137696160234,27,2024-01-11 10:40:14,2024-01-11 10:45:14,5,mattina,1
2024-01-11 18:52:02,26.712908515510126,28,2024-01-11 18:52:02,2024-01-11 19:34:02,42,cena,1
2024-01-11 06:33:46,25.394578572025228,29,2024-01-11 06:33:46,2024-01-11 07:08:46,35,mattina,1
2024-01-11 20:01:08,30.442191203155083,30,2024-01-11 20:01:08,2024-01-11 21:04:08,63,cena,1
2024-01-12 19:59:23,74.31452368747631,31,2024-01-12 19:59:23,2024-01-12 20:06:23,7,cena,1
2024-01-12 06:52:56,32.96657973385857,32,2024-01-12 06:52:56,2024-01-12 07:01:56,9,mattina,1
2024-01-12 06:24:56,43.57715943481131,33,2024-01-12 06:24:56,2024-01-12 06:35:56,11,mattina,1
2024-01-12 18:55:46,33.736869596369324,34,2024-01-12 18:55:46,2024-01-12 19:00:46,5,cena,1
2024-01-12 11:19:56,28.565884190162677,35,2024-01-12 11:19:56,2024-01-12 11:36:56,17,pranzo,1
2024-01-13 12:15:53,53.94060112261657,36,2024-01-13 12:15:53,2024-01-13 12:32:53,17,pranzo,1
2024-01-13 13:15:28,30.952077704601273,37,2024-01-13 13:15:28,2024-01-13 14:24:28,69,pranzo,1
2024-01-13 12:10:39,93.0675014361743,38,2024-01-13 12:10:39,2024-01-13 13:16:39,66,pranzo,1
2024-01-13 06:38:59,44.92402450792304,39,2024-01-13 06:38:59,2024-01-13 06:43:59,5,mattina,1
2024-01-14 11:59:11,97.51085499169659,40,2024-01-14 11:59:11,2024-01-14 12:18:11,19,pranzo,1
2024-01-15 05:51:27,41.13712980426972,41,2024-01-15 05:51:27,2024-01-15 06:04:27,13,mattina,1
2024-01-15 10:37:40,35.346020296004724,42,2024-01-15 10:37:40,2024-01-15 10:47:40,10,mattina,1
2024-01-16 10:56:26,25.596309942921383,43,2024-01-16 10:56:26,2024-01-16 11:01:26,5,mattina,1
2024-01-17 07:40:49,28.610506737746512,44,2024-01-17 07:40:49,2024-01-17 08:26:49,46,mattina,1
2024-01-17 19:19:54,47.395122154618825,45,2024-01-17 19:19:54,2024-01-17 19:24:54,5,cena,1
2024-01-17 20:10:14,32.39878967956203,46,2024-01-17 20:10:14,2024-01-17 20:28:14,18,cena,1
2024-01-17 06:09:05,59.06932966153519,47,2024-01-17 06:09:05,2024-01-17 06:14:05,5,mattina,1
2024-01-17 11:06:27,45.498751453139654,48,2024-01-17 11:06:27,2024-01-17 11:29:27,23,pranzo,1
2024-01-18 18:48:46,39.655163465888634,49,2024-01-18 18:48:46,2024-01-18 18:59:46,11,cena,1
2024-01-18 07:49:26,35.116955398227844,50,2024-01-18 07:49:26,2024-01-18 08:03:26,14,mattina,1
2024-01-18 19:47:41,33.29077401807454,51,2024-01-18 19:47:41,2024-01-18 19:56:41,9,cena,1
2024-01-18 12:22:58,32.487738012698934,52,2024-01-18 12:22:58,2024-01-18 12:28:58,6,pranzo,1
2024-01-18 06:34:34,28.02321660079386,53,2024-01-18 06:34:34,2024-01-18 07:18:34,44,mattina,1
2024-01-19 12:20:44,28.3496239452539,54,2024-01-19 12:20:44,2024-01-19 12:38:44,18,pranzo,1
2024-01-19 13:23:32,37.96601011967329,55,2024-01-19 13:23:32,2024-01-19 13:37:32,14,pranzo,1
2024-01-20 07:24:28,33.49141268092769,56,2024-01-20 07:24:28,2024-01-20 07:58:28,34,mattina,1
2024-01-20 18:32:47,25.41181718289763,57,2024-01-20 18:32:47,2024-01-20 18:42:47,10,cena,1
2024-01-20 05:02:23,58.7675583343727,58,2024-01-20 05:02:23,2024-01-20 05:07:23,5,mattina,1
2024-01-21 17:58:22,29.456235219062147,59,2024-01-21 17:58:22,2024-01-21 18:55:22,57,cena,1
2024-01-21 19:22:37,49.594056421362396,60,2024-01-21 19:22:37,2024-01-21 19:35:37,13,cena,1
2024-01-21 11:09:09,67.947018831409,61,2024-01-21 11:09:09,2024-01-21 11:17:09,8,pranzo,1
2024-01-21 19:10:15,28.3830876378606,62,2024-01-21 19:10:15,2024-01-21 19:15:15,5,cena,1
2024-01-21 18:20:31,40.98549631739932,63,2024-01-21 18:20:31,2024-01-21 18:25:31,5,cena,1
2024-01-21 07:29:57,46.309354080628424,64,2024-01-21 07:29:57,2024-01-21 07:34:57,5,mattina,1
2024-01-22 19:31:21,30.099008342958662,65,2024-01-22 19:31:21,2024-01-22 19:36:21,5,cena,1
2024-01-22 11:40:42,42.761397867218676,66,2024-01-22 11:40:42,2024-01-22 12:56:42,76,pranzo,1
2024-01-22 19:31:26,60.97051523264331,67,2024-01-22 19:31:26,2024-01-22 19:37:26,6,cena,1
