timestamp,sensor_id,sensor_type,room,sensor_status,duration_seconds,subject_id
2024-01-01 06:59:00,S_camera_letto_3,PIR,camera_letto,active,61,1
2024-01-01 07:07:00,S_camera_letto_2,PIR,camera_letto,active,969,1
2024-01-01 07:36:00,S_soggiorno_1,PIR,soggiorno,active,36,1
2024-01-01 08:19:00,S_bagno_3,PIR,bagno,active,311,1
2024-01-01 09:10:00,S_cucina_1,PIR,cucina,active,104,1
2024-01-01 10:12:00,S_cucina_2,PIR,cucina,active,32,1
2024-01-01 10:56:00,S_soggiorno_3,PIR,soggiorno,active,474,1
2024-01-01 10:10:00,S_bagno_2,PIR,bagno,active,142,1
2024-01-01 11:13:00,S_bagno_1,PIR,bagno,active,388,1
2024-01-01 11:40:00,S_cucina_3,PIR,cucina,active,30,1
2024-01-01 13:08:00,S_cucina_3,PIR,cucina,active,321,1
2024-01-01 13:57:00,S_cucina_2,PIR,cucina,active,42,1
2024-01-01 14:11:00,S_camera_letto_1,PIR,camera_letto,active,30,1
2024-01-01 14:02:00,S_cucina_2,PIR,cucina,active,727,1
2024-01-01 15:14:00,S_cucina_3,PIR,cucina,active,110,1
2024-01-01 15:12:00,S_camera_letto_3,PIR,camera_letto,active,342,1
2024-01-01 16:56:00,S_cucina_1,PIR,cucina,active,204,1
2024-01-01 16:59:00,S_cucina_2,PIR,cucina,active,35,1
2024-01-01 18:10:00,S_bagno_3,PIR,bagno,active,76,1
2024-01-01 18:04:00,S_cucina_3,PIR,cucina,active,196,1
2024-01-01 18:56:00,S_cucina_3,PIR,cucina,active,468,1
2024-01-01 19:31:00,S_cucina_3,PIR,cucina,active,30,1
2024-01-01 20:31:00,S_cucina_1,PIR,cucina,active,69,1
2024-01-01 21:06:00,S_bagno_1,PIR,bagno,active,30,1
2024-01-01 21:01:00,S_cucina_3,PIR,cucina,active,409,1
2024-01-01 21:04:00,S_ingresso_3,PIR,ingresso,active,35,1
2024-01-01 22:48:00,S_camera_letto_2,PIR,camera_letto,active,413,1
2024-01-01 22:28:00,S_soggiorno_2,PIR,soggiorno,active,213,1
2024-01-02 06:57:00,S_bagno_3,PIR,bagno,active,47,1
2024-01-02 06:34:00,S_cucina_2,PIR,cucina,active,413,1
2024-01-02 07:03:00,S_bagno_1,PIR,bagno,active,166,1
2024-01-02 07:22:00,S_soggiorno_2,PIR,soggiorno,active,74,1
2024-01-02 07:09:00,S_soggiorno_2,PIR,soggiorno,active,52,1
2024-01-02 08:08:00,S_soggiorno_3,PIR,soggiorno,active,82,1
2024-01-02 08:00:00,S_cucina_2,PIR,cucina,active,222,1
2024-01-02 09:25:00,S_cucina_1,PIR,cucina,active,147,1
2024-01-02 09:34:00,S_cucina_1,PIR,cucina,active,1251,1
2024-01-02 10:51:00,S_camera_letto_3,PIR,camera_letto,active,30,1
2024-01-02 10:01:00,S_cucina_2,PIR,cucina,active,195,1
2024-01-02 11:47:00,S_camera_letto_2,PIR,camera_letto,active,603,1
2024-01-02 11:25:00,S_soggiorno_2,PIR,soggiorno,active,352,1
2024-01-02 11:13:00,S_cucina_2,PIR,cucina,active,552,1
2024-01-02 12:06:00,S_cucina_3,PIR,cucina,active,495,1
2024-01-02 12:13:00,S_camera_letto_3,PIR,camera_letto,active,30,1
2024-01-02 12:49:00,S_soggiorno_2,PIR,soggiorno,active,90,1
2024-01-02 12:42:00,S_cucina_1,PIR,cucina,active,397,1
2024-01-02 13:42:00,S_soggiorno_3,PIR,soggiorno,active,349,1
2024-01-02 14:03:00,S_camera_letto_3,PIR,camera_letto,active,219,1
2024-01-02 14:52:00,S_cucina_3,PIR,cucina,active,831,1
2024-01-02 16:56:00,S_soggiorno_1,PIR,soggiorno,active,265,1
2024-01-02 16:59:00,S_soggiorno_3,PIR,soggiorno,active,30,1
2024-01-02 16:11:00,S_soggiorno_3,PIR,soggiorno,active,53,1
2024-01-02 17:55:00,S_ingresso_1,PIR,ingresso,active,44,1
2024-01-02 17:31:00,S_camera_letto_1,PIR,camera_letto,active,156,1
2024-01-02 17:18:00,S_bagno_1,PIR,bagno,active,50,1
2024-01-02 17:51:00,S_camera_letto_2,PIR,camera_letto,active,769,1
2024-01-02 17:48:00,S_ingresso_1,PIR,ingresso,active,101,1
2024-01-02 18:17:00,S_camera_letto_2,PIR,camera_letto,active,72,1
2024-01-02 20:02:00,S_cucina_2,PIR,cucina,active,448,1
2024-01-02 21:12:00,S_soggiorno_1,PIR,soggiorno,active,73,1
2024-01-02 22:29:00,S_cucina_1,PIR,cucina,active,529,1
2024-01-02 22:24:00,S_cucina_3,PIR,cucina,active,149,1
2024-01-03 06:19:00,S_soggiorno_1,PIR,soggiorno,active,718,1
2024-01-03 06:04:00,S_soggiorno_3,PIR,soggiorno,active,449,1
2024-01-03 06:35:00,S_soggiorno_1,PIR,soggiorno,active,65,1
2024-01-03 07:19:00,S_camera_letto_3,PIR,camera_letto,active,207,1
2024-01-03 07:16:00,S_bagno_1,PIR,bagno,active,333,1
2024-01-03 08:15:00,S_camera_letto_1,PIR,camera_letto,active,76,1
2024-01-03 09:06:00,S_cucina_1,PIR,cucina,active,449,1
2024-01-03 09:04:00,S_soggiorno_2,PIR,soggiorno,active,30,1
2024-01-03 09:29:00,S_cucina_1,PIR,cucina,active,660,1
2024-01-03 09:49:00,S_bagno_1,PIR,bagno,active,106,1
2024-01-03 10:49:00,S_camera_letto_1,PIR,camera_letto,active,30,1
2024-01-03 10:14:00,S_cucina_2,PIR,cucina,active,1090,1
2024-01-03 11:01:00,S_bagno_3,PIR,bagno,active,182,1
2024-01-03 11:53:00,S_camera_letto_1,PIR,camera_letto,active,329,1
2024-01-03 12:11:00,S_ingresso_2,PIR,ingresso,active,75,1
2024-01-03 12:10:00,S_bagno_3,PIR,bagno,active,30,1
2024-01-03 13:34:00,S_cucina_3,PIR,cucina,active,279,1
2024-01-03 13:23:00,S_cucina_2,PIR,cucina,active,738,1
2024-01-03 14:33:00,S_cucina_2,PIR,cucina,active,950,1
2024-01-03 15:12:00,S_camera_letto_2,PIR,camera_letto,active,230,1
2024-01-03 15:48:00,S_soggiorno_2,PIR,soggiorno,active,235,1
2024-01-03 16:30:00,S_bagno_3,PIR,bagno,active,57,1
2024-01-03 17:55:00,S_ingresso_3,PIR,ingresso,active,98,1
2024-01-03 17:15:00,S_bagno_3,PIR,bagno,active,1107,1
2024-01-03 18:21:00,S_soggiorno_1,PIR,soggiorno,active,755,1
2024-01-03 18:38:00,S_cucina_3,PIR,cucina,active,81,1
2024-01-03 18:09:00,S_bagno_1,PIR,bagno,active,307,1
2024-01-03 19:22:00,S_bagno_1,PIR,bagno,active,318,1
2024-01-03 19:02:00,S_camera_letto_3,PIR,camera_letto,active,635,1
2024-01-03 20:49:00,S_camera_letto_3,PIR,camera_letto,active,267,1
2024-01-03 20:01:00,S_bagno_1,PIR,bagno,active,453,1
2024-01-03 20:20:00,S_soggiorno_2,PIR,soggiorno,active,250,1
2024-01-03 21:09:00,S_soggiorno_3,PIR,soggiorno,active,30,1
